date,country,cases,deaths,vaccination_rate,mobility
2020-01-22,Afghanistan,0,0,0.0,
2020-01-23,Afghanistan,0,0,0.0,
2020-01-24,Afghanistan,0,0,0.0,
2020-01-25,Afghanistan,0,0,0.0,
2020-01-26,Afghanistan,0,0,0.0,
2020-01-27,Afghanistan,0,0,0.0,
2020-01-28,Afghanistan,0,0,0.0,
2020-01-29,Afghanistan,0,0,0.0,
2020-01-30,Afghanistan,0,0,0.0,
2020-01-31,Afghanistan,0,0,0.0,
2020-02-01,Afghanistan,0,0,0.0,
2020-02-02,Afghanistan,0,0,0.0,
2020-02-03,Afghanistan,0,0,0.0,
2020-02-04,Afghanistan,0,0,0.0,
2020-02-05,Afghanistan,0,0,0.0,
2020-02-06,Afghanistan,0,0,0.0,
2020-02-07,Afghanistan,0,0,0.0,
2020-02-08,Afghanistan,0,0,0.0,
2020-02-09,Afghanistan,0,0,0.0,
2020-02-10,Afghanistan,0,0,0.0,
2020-02-11,Afghanistan,0,0,0.0,
2020-02-12,Afghanistan,0,0,0.0,
2020-02-13,Afghanistan,0,0,0.0,
2020-02-14,Afghanistan,0,0,0.0,
2020-02-15,Afghanistan,0,0,0.0,
2020-02-16,Afghanistan,0,0,0.0,
2020-02-17,Afghanistan,0,0,0.0,
2020-02-18,Afghanistan,0,0,0.0,
2020-02-19,Afghanistan,0,0,0.0,
2020-02-20,Afghanistan,0,0,0.0,
2020-02-21,Afghanistan,0,0,0.0,
2020-02-22,Afghanistan,0,0,0.0,
2020-02-23,Afghanistan,0,0,0.0,
2020-02-24,Afghanistan,5,0,0.0,
2020-02-25,Afghanistan,5,0,0.0,
2020-02-26,Afghanistan,5,0,0.0,
2020-02-27,Afghanistan,5,0,0.0,
2020-02-28,Afghanistan,5,0,0.0,
2020-02-29,Afghanistan,5,0,0.0,
2020-03-01,Afghanistan,5,0,0.0,
2020-03-02,Afghanistan,5,0,0.0,
2020-03-03,Afghanistan,5,0,0.0,
2020-03-04,Afghanistan,5,0,0.0,
2020-03-05,Afghanistan,5,0,0.0,
2020-03-06,Afghanistan,5,0,0.0,
2020-03-07,Afghanistan,8,0,0.0,
2020-03-08,Afghanistan,8,0,0.0,
2020-03-09,Afghanistan,8,0,0.0,
2020-03-10,Afghanistan,8,0,0.0,
2020-03-11,Afghanistan,11,0,0.0,
2020-03-12,Afghanistan,11,0,0.0,
2020-03-13,Afghanistan,11,0,0.0,
2020-03-14,Afghanistan,14,0,0.0,
2020-03-15,Afghanistan,20,0,0.0,
2020-03-16,Afghanistan,25,0,0.0,
2020-03-17,Afghanistan,26,0,0.0,
2020-03-18,Afghanistan,26,0,0.0,
2020-03-19,Afghanistan,26,0,0.0,
2020-03-20,Afghanistan,24,0,0.0,
2020-03-21,Afghanistan,24,0,0.0,
2020-03-22,Afghanistan,34,0,0.0,
2020-03-23,Afghanistan,40,1,0.0,
2020-03-24,Afghanistan,42,1,0.0,
2020-03-25,Afghanistan,74,1,0.0,
2020-03-26,Afghanistan,80,2,0.0,
2020-03-27,Afghanistan,91,2,0.0,
2020-03-28,Afghanistan,106,2,0.0,
2020-03-29,Afghanistan,114,4,0.0,
2020-03-30,Afghanistan,114,4,0.0,
2020-03-31,Afghanistan,166,4,0.0,
2020-04-01,Afghanistan,192,4,0.0,
2020-04-02,Afghanistan,235,4,0.0,
2020-04-03,Afghanistan,269,5,0.0,
2020-04-04,Afghanistan,270,5,0.0,
2020-04-05,Afghanistan,299,7,0.0,
2020-04-06,Afghanistan,337,7,0.0,
2020-04-07,Afghanistan,367,11,0.0,
2020-04-08,Afghanistan,423,14,0.0,
2020-04-09,Afghanistan,444,15,0.0,
2020-04-10,Afghanistan,521,15,0.0,
2020-04-11,Afghanistan,521,15,0.0,
2020-04-12,Afghanistan,555,18,0.0,
2020-04-13,Afghanistan,607,19,0.0,
2020-04-14,Afghanistan,665,22,0.0,
2020-04-15,Afghanistan,770,25,0.0,
2020-04-16,Afghanistan,794,29,0.0,
2020-04-17,Afghanistan,845,30,0.0,
2020-04-18,Afghanistan,908,30,0.0,
2020-04-19,Afghanistan,933,30,0.0,
2020-04-20,Afghanistan,996,33,0.0,
2020-04-21,Afghanistan,1026,36,0.0,
2020-04-22,Afghanistan,1092,36,0.0,
2020-04-23,Afghanistan,1176,40,0.0,
2020-04-24,Afghanistan,1226,40,0.0,
2020-04-25,Afghanistan,1330,43,0.0,
2020-04-26,Afghanistan,1463,49,0.0,
2020-04-27,Afghanistan,1531,50,0.0,
2020-04-28,Afghanistan,1703,60,0.0,
2020-04-29,Afghanistan,1827,60,0.0,
2020-04-30,Afghanistan,1827,60,0.0,
2020-05-01,Afghanistan,2171,64,0.0,
2020-05-02,Afghanistan,2469,72,0.0,
2020-05-03,Afghanistan,2469,72,0.0,
2020-05-04,Afghanistan,2469,72,0.0,
2020-05-05,Afghanistan,2469,72,0.0,
2020-05-06,Afghanistan,3224,95,0.0,
2020-05-07,Afghanistan,3392,104,0.0,
2020-05-08,Afghanistan,3563,105,0.0,
2020-05-09,Afghanistan,3563,105,0.0,
2020-05-10,Afghanistan,4402,119,0.0,
2020-05-11,Afghanistan,4664,120,0.0,
2020-05-12,Afghanistan,4967,127,0.0,
2020-05-13,Afghanistan,4967,127,0.0,
2020-05-14,Afghanistan,5339,136,0.0,
2020-05-15,Afghanistan,6053,153,0.0,
2020-05-16,Afghanistan,6402,168,0.0,
2020-05-17,Afghanistan,6635,169,0.0,
2020-05-18,Afghanistan,7072,173,0.0,
2020-05-19,Afghanistan,7655,177,0.0,
2020-05-20,Afghanistan,8145,187,0.0,
2020-05-21,Afghanistan,8676,193,0.0,
2020-05-22,Afghanistan,9216,205,0.0,
2020-05-23,Afghanistan,9952,215,0.0,
2020-05-24,Afghanistan,10668,222,0.0,
2020-05-25,Afghanistan,11180,223,0.0,
2020-05-26,Afghanistan,11917,224,0.0,
2020-05-27,Afghanistan,12465,230,0.0,
2020-05-28,Afghanistan,13102,239,0.0,
2020-05-29,Afghanistan,13745,250,0.0,
2020-05-30,Afghanistan,14529,252,0.0,
2020-05-31,Afghanistan,15180,254,0.0,
2020-06-01,Afghanistan,15836,269,0.0,
2020-06-02,Afghanistan,16578,274,0.0,
2020-06-03,Afghanistan,17353,298,0.0,
2020-06-04,Afghanistan,17977,303,0.0,
2020-06-05,Afghanistan,19055,313,0.0,
2020-06-06,Afghanistan,19637,331,0.0,
2020-06-07,Afghanistan,20428,361,0.0,
